ticker,date,open,high,low,close,adj_close,volume
AAPL,2024-01-02,100.5,101.71,98.8,100,100,700000
AAPL,2024-01-03,101.49,103.22,100.27,102,102,715000
AAPL,2024-01-04,101.5,102.72,99.79,101,101,730000
AAPL,2024-01-05,103.48,105.25,102.24,104,104,745000
AAPL,2024-01-08,103.51,104.75,101.76,103,103,760000
AAPL,2024-01-09,104.47,106.26,103.22,105,105,775000
AAPL,2024-01-10,107.53,108.82,105.72,107,107,790000
AAPL,2024-01-11,105.47,107.27,104.2,106,106,805000
AAPL,2024-01-12,108.54,109.84,106.7,108,108,820000
AAPL,2024-01-16,108.45,110.31,107.15,109,109,835000
AAPL,2024-01-17,107.53,108.82,105.72,107,107,850000
AAPL,2024-01-18,109.45,111.32,108.14,110,110,865000
AAPL,2024-01-19,112.56,113.91,110.66,112,112,880000
AAPL,2024-01-22,110.44,112.33,109.11,111,111,895000
MSFT,2024-01-02,201.0,203.41,197.6,200,200,875000
MSFT,2024-01-03,200.0,203.41,197.6,201,201,890000
MSFT,2024-01-04,204.01,206.46,200.56,203,203,905000
MSFT,2024-01-05,200.99,204.42,198.58,202,202,920000
MSFT,2024-01-08,206.02,208.49,202.54,205,205,935000
MSFT,2024-01-09,205.97,209.48,203.5,207,207,950000
MSFT,2024-01-10,207.03,209.51,203.53,206,206,965000
MSFT,2024-01-11,206.96,210.5,204.48,208,208,980000
MSFT,2024-01-12,212.05,214.59,208.47,211,211,995000
MSFT,2024-01-16,208.95,212.52,206.44,210,210,1010000
MSFT,2024-01-17,213.06,215.62,209.46,212,212,1025000
MSFT,2024-01-18,212.93,216.57,210.37,214,214,1040000
MSFT,2024-01-19,214.06,216.63,210.44,213,213,1055000
MSFT,2024-01-22,214.92,218.59,212.34,216,216,1070000
NVDA,2024-01-02,301.5,305.12,296.4,300,300,1050000
NVDA,2024-01-03,308.45,313.72,304.75,310,310,1065000
NVDA,2024-01-04,319.59,323.43,314.18,318,318,1080000
NVDA,2024-01-05,313.43,318.78,309.67,315,315,1095000
NVDA,2024-01-08,326.62,330.54,321.1,325,325,1110000
NVDA,2024-01-09,330.34,335.98,326.38,332,332,1125000
NVDA,2024-01-10,329.64,333.6,324.06,328,328,1140000
NVDA,2024-01-11,338.3,344.08,334.24,340,340,1155000
NVDA,2024-01-12,351.75,355.97,345.8,350,350,1170000
NVDA,2024-01-16,343.27,349.14,339.15,345,345,1185000
NVDA,2024-01-17,356.77,361.05,350.74,355,355,1200000
NVDA,2024-01-18,363.18,369.38,358.82,365,365,1215000
NVDA,2024-01-19,361.8,366.14,355.68,360,360,1230000
NVDA,2024-01-22,370.14,376.46,365.7,372,372,1245000
GOOGL,2024-01-02,140.7,142.39,138.32,140,140,1225000
GOOGL,2024-01-03,138.31,140.67,136.65,139,139,1240000
GOOGL,2024-01-04,141.7,143.4,139.31,141,141,1255000
GOOGL,2024-01-05,142.28,144.72,140.57,143,143,1270000
GOOGL,2024-01-08,142.71,144.42,140.3,142,142,1285000
GOOGL,2024-01-09,143.28,145.73,141.56,144,144,1300000
GOOGL,2024-01-10,146.73,148.49,144.25,146,146,1315000
GOOGL,2024-01-11,144.28,146.74,142.55,145,145,1330000
GOOGL,2024-01-12,147.73,149.5,145.24,147,147,1345000
GOOGL,2024-01-16,149.25,151.8,147.46,150,150,1360000
GOOGL,2024-01-17,149.74,151.54,147.21,149,149,1375000
GOOGL,2024-01-18,150.25,152.81,148.45,151,151,1390000
GOOGL,2024-01-19,153.76,155.61,151.16,153,153,1405000
GOOGL,2024-01-22,151.24,153.82,149.43,152,152,1420000
AMZN,2024-01-02,150.75,152.56,148.2,150,150,1400000
AMZN,2024-01-03,150.25,152.81,148.45,151,151,1415000
AMZN,2024-01-04,150.75,152.56,148.2,150,150,1430000
AMZN,2024-01-05,152.23,154.84,150.4,153,153,1445000
AMZN,2024-01-08,155.77,157.64,153.14,155,155,1460000
AMZN,2024-01-09,153.23,155.85,151.39,154,154,1475000
AMZN,2024-01-10,156.78,158.66,154.13,156,156,1490000
AMZN,2024-01-11,158.21,160.91,156.31,159,159,1505000
AMZN,2024-01-12,158.79,160.7,156.1,158,158,1520000
AMZN,2024-01-16,159.2,161.92,157.29,160,160,1535000
AMZN,2024-01-17,162.81,164.76,160.06,162,162,1550000
AMZN,2024-01-18,160.19,162.93,158.27,161,161,1565000
AMZN,2024-01-19,164.82,166.8,162.03,164,164,1580000
AMZN,2024-01-22,165.17,167.99,163.19,166,166,1595000
META,2024-01-02,90.45,91.54,88.92,90,90,1575000
META,2024-01-03,91.54,93.1,90.44,92,92,1590000
META,2024-01-04,91.45,92.55,89.91,91,91,1605000
META,2024-01-05,92.53,94.12,91.42,93,93,1620000
META,2024-01-08,95.47,96.62,93.86,95,95,1635000
META,2024-01-09,93.53,95.13,92.41,94,94,1650000
META,2024-01-10,97.48,98.65,95.84,97,97,1665000
META,2024-01-11,97.51,99.18,96.34,98,98,1680000
META,2024-01-12,96.48,97.64,94.85,96,96,1695000
META,2024-01-16,98.5,100.19,97.32,99,99,1710000
META,2024-01-17,101.5,102.72,99.79,101,101,1725000
META,2024-01-18,99.5,101.2,98.31,100,100,1740000
META,2024-01-19,103.51,104.75,101.76,103,103,1755000
META,2024-01-22,103.48,105.25,102.24,104,104,1770000
TSLA,2024-01-02,221.1,223.75,217.36,220,220,1750000
TSLA,2024-01-03,212.93,216.57,210.37,214,214,1765000
TSLA,2024-01-04,219.09,221.72,215.38,218,218,1780000
TSLA,2024-01-05,210.94,214.54,208.41,212,212,1795000
TSLA,2024-01-08,217.08,219.68,213.41,216,216,1810000
TSLA,2024-01-09,208.95,212.52,206.44,210,210,1825000
TSLA,2024-01-10,216.07,218.66,212.42,215,215,1840000
TSLA,2024-01-11,217.91,221.63,215.3,219,219,1855000
TSLA,2024-01-12,214.06,216.63,210.44,213,213,1870000
TSLA,2024-01-16,215.91,219.6,213.32,217,217,1885000
TSLA,2024-01-17,222.1,224.77,218.35,221,221,1900000
TSLA,2024-01-18,214.92,218.59,212.34,216,216,1915000
TSLA,2024-01-19,221.1,223.75,217.36,220,220,1930000
TSLA,2024-01-22,222.88,226.69,220.21,224,224,1945000
