date,ticker,signal,price,shares_after,cash_after,equity_after,completed_trade_pnl,completed_trade_return
2024-11-26,AAPL,buy,235.29505755615227,424.9940523129587,0.0,99899.1008991009,,
2024-12-02,AAPL,sell,239.35040634155277,0.0,101721.49911384979,101721.49911384979,1721.4991138497921,0.017215163290130824
2024-12-05,AAPL,buy,243.28303327941893,418.11587821260144,0.0,101618.88023361618,,
2024-12-06,AAPL,sell,242.59715634155276,0.0,101432.7230756281,101432.7230756281,-288.77603822168317,-0.0028389168430885607
2024-12-09,AAPL,buy,246.99674999999996,410.660152717103,0.0,101330.39268294517,,
2024-12-10,AAPL,sell,247.52223426818844,0.0,101646.51852545282,101646.51852545282,213.79544982471555,0.002107776968999219
2024-12-12,AAPL,buy,248.20796672058103,409.5175504172265,0.0,101543.97455090193,,
2024-11-26,AMZN,buy,208.06786061096193,480.6076234280827,0.0,99899.1008991009,,
2024-11-29,AMZN,sell,207.6821093902588,0.0,99812.60502258339,99812.60502258339,-187.39497741661205,-0.001873968513851259
2024-12-03,AMZN,buy,213.65344244384764,467.1659107426545,0.0,99711.89312945395,,
2024-12-06,AMZN,sell,226.80296878051757,0.0,105953.61546948833,105953.61546948833,6141.010446904932,0.06152601639373965
2024-12-09,AMZN,buy,226.31608633422852,468.1621054237179,0.0,105846.76870078755,,
2024-12-13,AMZN,sell,227.23254670715332,0.0,106380.66748721422,106380.66748721422,427.0520177258814,0.004030594391970075
2024-11-26,GOOGL,buy,169.28911511230467,590.6995256822134,0.0,99899.10089910091,,
2024-11-27,GOOGL,sell,169.06076573181153,0.0,99863.11412925288,99863.11412925288,-136.88587074712655,-0.0013688723961952274
2024-12-02,GOOGL,buy,171.66149549865722,581.7385770709077,0.0,99762.3517774754,,
2024-12-09,GOOGL,sell,175.1946251220703,0.0,101916.47192898428,101916.47192898428,2053.3577997314023,0.020561929993528013
2024-12-10,GOOGL,buy,185.35516816711424,549.8388468839368,0.0,101813.65827071357,,
2024-12-11,GOOGL,sell,195.20459390258793,0.0,107330.0688178461,107330.0688178461,5413.596888861823,0.05311849895209308
2024-12-12,GOOGL,buy,192.15196672058104,558.5634674971571,0.0,107221.84697087522,,
2024-12-13,GOOGL,sell,189.63018731689453,0.0,105919.49496986004,105919.49496986004,-1410.5738479860495,-0.01314251454449875
2024-12-16,GOOGL,buy,196.85666366577138,538.0488168269038,0.0,105812.68228757248,,
2024-11-26,META,buy,574.113518005371,174.17983876677238,0.0,99899.1008991009,,
2024-12-05,META,sell,608.3210626831054,0.0,105956.26461657493,105956.26461657493,5956.264616574941,0.05956324179816739
2024-12-09,META,buy,614.1835773315429,172.51399830148688,0.0,105849.41520137356,,
2024-12-12,META,sell,630.1591880493164,0.0,108710.28109680612,108710.28109680612,2754.0164802311965,0.02599225711150153
2024-12-13,META,buy,620.9703255615234,175.06356845394154,0.0,108600.68041638973,,
2024-11-26,MSFT,buy,428.4179802246093,233.41457318755135,0.0,99899.10089910091,,
2024-12-04,MSFT,sell,436.9825934143066,0.0,101997.10553218967,101997.10553218967,1997.1055321896674,0.01997125503444702
2024-12-05,MSFT,buy,443.0626151123046,230.20697764431415,0.0,101894.21132086882,,
2024-12-06,MSFT,sell,443.12643731689457,0.0,102009.79784901493,102009.79784901493,12.692316825247094,0.00012443922990021844
2024-12-09,MSFT,buy,446.4660090026855,228.4805467652104,0.0,101906.89095805689,,
2024-12-12,MSFT,sell,449.11043756103516,0.0,102611.9983319082,102611.9983319082,602.2004828932672,0.005903417112949366
2024-12-13,MSFT,buy,447.7172590026855,229.18705113240387,0.0,102508.48984206613,,
2024-11-26,NVDA,buy,137.05691816711425,729.6165807410807,0.0,99899.10089910091,,
2024-12-02,NVDA,sell,138.4913748779297,0.0,101044.60340056628,101044.60340056628,1044.6034005662684,0.010446138467047355
2024-12-03,NVDA,buy,140.40025450134277,719.6824803447911,0.0,100942.66073982646,,
2024-12-04,NVDA,sell,144.9948593902588,0.0,104349.26004322567,104349.26004322567,3304.656642659387,0.0327052532910843
2024-12-05,NVDA,buy,145.20505755615233,718.6268977089389,0.0,104244.01602719848,,
2024-12-06,NVDA,sell,142.29756243896483,0.0,102257.85584705733,102257.85584705733,-2091.404196168337,-0.02004254019474771
2024-12-09,NVDA,buy,138.94880755615233,735.9318704893026,0.0,102154.70114591143,,
2024-11-25,TSLA,buy,338.9285863342285,295.04445488521804,0.0,99899.10089910091,,
2024-11-27,TSLA,sell,332.55712463378904,0.0,98118.1355557718,98118.1355557718,-1881.8644442282032,-0.018818832630608334
2024-12-03,TSLA,buy,351.77143344116206,278.9229773320495,0.0,98019.1164393325,,
2024-12-04,TSLA,sell,357.57206268310546,0.0,99734.06433433402,99734.06433433402,1615.9287785622018,0.01646938396039573
2024-12-10,TSLA,buy,401.39098022460934,248.46862348158808,0.0,99633.4309034306,,
2024-12-11,TSLA,sell,424.3452190246582,0.0,105435.47245204983,105435.47245204983,5701.408117715803,0.05716667943344283
2024-12-12,TSLA,buy,418.5181061096191,251.92332401608024,0.0,105329.1433087411,,
2024-12-13,TSLA,sell,435.7937809753418,0.0,109785.61788884374,109785.61788884374,4350.145436793911,0.04125923273123312
2024-12-16,TSLA,buy,463.4830090026855,236.8687001602849,0.0,109674.94294589786,,
