date,ticker,close,predicted_label,signal,cash,shares,equity,daily_return,buy_hold_equity,buy_hold_return
2024-01-17,AAPL,107.0,-1,sell,100000.0,0.0,100000.0,0.0,100000.0,0.0
2024-01-18,AAPL,110.0,1,buy,0.0,908.173644537281,99899.10089910091,-0.0010089910089908518,102803.738317757,0.02803738317757001
2024-01-19,AAPL,112.0,-1,sell,101612.7327399873,0.0,101612.7327399873,0.017153626263535376,104672.89719626168,0.04672897196261678
2024-01-17,AMZN,162.0,1,buy,0.0,616.6611166611167,99899.1008991009,-0.0010089910089909973,100000.0,0.0
2024-01-18,AMZN,161.0,-1,sell,99182.15734265734,0.0,99182.15734265734,-0.007176676766767656,99382.71604938271,-0.0061728395061728955
2024-01-19,AMZN,164.0,1,buy,0.0,604.1589955328657,99082.07526738997,-0.0010090733852623202,101234.56790123458,0.012345679012345791
2024-01-17,GOOGL,149.0,1,buy,0.0,670.4637644234961,99899.10089910091,-0.0010089910089908518,100000.0,0.0
2024-01-18,GOOGL,151.0,1,buy,0.0,670.4637644234961,101240.02842794791,0.013422818791946331,101342.28187919463,0.013422818791946338
2024-01-19,GOOGL,153.0,1,buy,0.0,670.4637644234961,102580.9559567949,0.013245033112582804,102684.56375838925,0.02684563758389253
2024-01-17,META,101.0,1,buy,0.0,989.1000089019892,99899.10089910091,-0.0010089910089908518,100000.0,0.0
2024-01-18,META,100.0,1,buy,0.0,989.1000089019892,98910.00089019892,-0.009900990099009953,99009.900990099,-0.009900990099009941
2024-01-19,META,103.0,1,buy,0.0,989.1000089019892,101877.30091690489,0.030000000000000013,101980.19801980199,0.019801980198019882
2024-01-17,MSFT,212.0,1,buy,0.0,471.22217405236273,99899.1008991009,-0.0010089910089909973,100000.0,0.0
2024-01-18,MSFT,214.0,-1,sell,100739.70370195842,0.0,100739.70370195842,0.00841451820178583,100943.3962264151,0.00943396226415105
2024-01-19,MSFT,213.0,1,buy,0.0,472.47918139118366,100638.06563632212,-0.001008917655118412,100471.69811320756,0.004716981132075598
2024-01-16,NVDA,345.0,1,buy,0.0,289.56261130174175,99899.1008991009,-0.0010089910089909973,100000.0,0.0
2024-01-17,NVDA,355.0,1,buy,0.0,289.56261130174175,102794.72701211832,0.02898550724637688,102898.55072463767,0.028985507246376656
2024-01-18,NVDA,365.0,-1,sell,105583.6627720106,0.0,105583.6627720106,0.027131116944972247,105797.10144927536,0.0579710144927536
2024-01-19,NVDA,360.0,-1,sell,105583.6627720106,0.0,105583.6627720106,0.0,104347.82608695651,0.043478260869565126
2024-01-16,TSLA,217.0,-1,sell,100000.0,0.0,100000.0,0.0,100000.0,0.0
2024-01-17,TSLA,221.0,-1,sell,100000.0,0.0,100000.0,0.0,101843.31797235023,0.018433179723502252
2024-01-18,TSLA,216.0,1,buy,0.0,462.4958374958375,99899.1008991009,-0.0010089910089909973,99539.17050691244,-0.004608294930875563
2024-01-19,TSLA,220.0,1,buy,0.0,462.4958374958375,101749.08424908425,0.018518518518518493,101382.48847926268,0.013824884792626835
